marker_id,marker_sta,marker_url,marker_addr,marker_lat,marker_lng
T14,東陽町駅,http://www.tokyometro.jp/rosen/eki/toyocho/index.html,東京都江東区東陽4-2-1,35.669626,139.817601
,地下鉄赤塚駅,,,35.76991,139.64411
,氷川台駅,,,35.74964,139.66546
,千川駅,,,35.73822,139.68936
,地下鉄成増駅,,,35.77668,139.6312
,平和台駅,,,35.75761,139.6542
,小竹向原駅,,,35.74343,139.67946
,要町駅,,,35.73326,139.69852
,北参道駅,,,35.6786,139.70534
I13,白山駅,http://www.kotsu.metro.tokyo.jp/subway/stations/hakusan/i13.html,東京都文京区白山5-36-10,35.721411,139.752134
I14,千石駅,http://www.kotsu.metro.tokyo.jp/subway/stations/sengoku/i14.html,東京都文京区千石1-29-13,35.727959,139.744801
I15,巣鴨駅,http://www.kotsu.metro.tokyo.jp/subway/stations/sugamo/i15.html,東京都豊島区巣鴨3-27-7,35.733489,139.739348
I16,西巣鴨駅,http://www.kotsu.metro.tokyo.jp/subway/stations/nishi-sugamo/i16.html,東京都豊島区西巣鴨3-25-13,35.743502,139.728716
I17,新板橋駅,http://www.kotsu.metro.tokyo.jp/subway/stations/shin-itabashi/i17.html,東京都板橋区板橋1-53-17,35.748785,139.720106
I18,板橋区役所前駅,http://www.kotsu.metro.tokyo.jp/subway/stations/itabashi-kuyakushomae/i18.html,東京都板橋区板橋2-66-17,35.75129,139.710107
I19,板橋本町駅,http://www.kotsu.metro.tokyo.jp/subway/stations/itabashihoncho/i19.html,東京都板橋区大和町17-1,35.761342,139.705533
I20,本蓮沼駅,http://www.kotsu.metro.tokyo.jp/subway/stations/motohasunuma/i20.html,東京都板橋区蓮沼町19-8,35.768788,139.702323
I21,志村坂上駅,http://www.kotsu.metro.tokyo.jp/subway/stations/shimura-sakaue/i21.html,東京都板橋区志村1-14-13,35.775728,139.695379
I11,水道橋駅,http://www.kotsu.metro.tokyo.jp/subway/stations/suidobashi/i11.html,東京都文京区後楽1-3-42,35.703529,139.755082
I05,芝公園駅,http://www.kotsu.metro.tokyo.jp/subway/stations/shibakoen/i05.html,東京都港区芝公園4-8-14,35.654075,139.749827
I06,御成門駅,http://www.kotsu.metro.tokyo.jp/subway/stations/onarimon/i06.html,東京都港区西新橋3-24-6,35.661221,139.751533
E36,豊島園駅,http://www.kotsu.metro.tokyo.jp/subway/stations/toshimaen/e36.html,東京都練馬区練馬4-14-17,35.742054,139.649113
E37,練馬春日町駅,http://www.kotsu.metro.tokyo.jp/subway/stations/nerima-kasugacho/e37.html,東京都練馬区春日町3-29-25,35.751456,139.640235
E38,光が丘駅,http://www.kotsu.metro.tokyo.jp/subway/stations/hikarigaoka/e38.html,東京都練馬区光が丘2-9-5,35.758528,139.6286
I01,目黒駅,http://www.kotsu.metro.tokyo.jp/subway/stations/meguro/i01.html,東京都品川区上大崎4-2-1,35.634002,139.71583
I02,白金台駅,http://www.kotsu.metro.tokyo.jp/subway/stations/shirokanedai/i02.html,東京都港区白金台4-5-10,35.637917,139.726133
E31,東中野駅,http://www.kotsu.metro.tokyo.jp/subway/stations/higashi-nakano/e31.html,東京都中野区東中野3-8-16,35.706826,139.683032
E32,中井駅,http://www.kotsu.metro.tokyo.jp/subway/stations/nakai/e32.html,東京都新宿区上落合2-20-8,35.713978,139.686353
E33,落合南長崎駅,http://www.kotsu.metro.tokyo.jp/subway/stations/ochiai-minami-nagasaki/e33.html,東京都新宿区西落合3-1-18,35.723612,139.683303
E34,新江古田駅,http://www.kotsu.metro.tokyo.jp/subway/stations/shin-egota/e34.html,東京都中野区江原町2-29-13,35.732537,139.670654
E28,都庁前駅,http://www.kotsu.metro.tokyo.jp/subway/stations/tochomae/e28.html,東京都新宿区西新宿2-8-1,35.690553,139.692573
E29,西新宿五丁目駅,http://www.kotsu.metro.tokyo.jp/subway/stations/nishi-shinjuku-gochome/e29.html,東京都新宿区西新宿5-25-9,35.689797,139.684309
E25,国立競技場駅,http://www.kotsu.metro.tokyo.jp/subway/stations/kokuritsu-kyogijo/e25.html,東京都新宿区霞ヶ丘町10番3号,35.680058,139.714127
E26,代々木駅,http://www.kotsu.metro.tokyo.jp/subway/stations/yoyogi/e26.html,東京都渋谷区代々木1-35-5,35.683658,139.70158
E21,赤羽橋駅,http://www.kotsu.metro.tokyo.jp/subway/stations/akabanebashi/e21.html,東京都港区東麻布1-28-13,35.655006,139.743648
E16,月島駅,http://www.kotsu.metro.tokyo.jp/subway/stations/tsukishima/e16.html,東京都中央区月島1-5-4,35.664869,139.784229
E17,勝どき駅,http://www.kotsu.metro.tokyo.jp/subway/stations/kachidoki/e17.html,東京都中央区勝どき2-10-15,35.65851,139.77644
E18,築地市場駅,http://www.kotsu.metro.tokyo.jp/subway/stations/tsukijishijo/e18.html,東京都中央区築地5-1-2,35.664902,139.766926
E11,蔵前駅,http://www.kotsu.metro.tokyo.jp/subway/stations/kuramae/e11.html,東京都台東区寿3-3-1,35.705552,139.792314
E12,両国駅,http://www.kotsu.metro.tokyo.jp/subway/stations/ryogoku/e12.html,東京都墨田区横網1-4-29,35.696885,139.797431
E13,森下駅,http://www.kotsu.metro.tokyo.jp/subway/stations/morishita/e13.html,東京都江東区森下2-17-17,35.687962,139.797048
E14,清澄白河駅,http://www.kotsu.metro.tokyo.jp/subway/stations/kiyosumi-shirakawa/e14.html,東京都江東区白河1-7-14,35.682106,139.798858
E08,本郷三丁目駅,http://www.kotsu.metro.tokyo.jp/subway/stations/hongo-sanchome/e08.html,東京都文京区本郷2-40-8,35.706674,139.759912
E03,若松河田駅,http://www.kotsu.metro.tokyo.jp/subway/stations/wakamatsu-kawada/e03.html,東京都新宿区河田町10-10,35.699218,139.718185
E04,牛込柳町駅,http://www.kotsu.metro.tokyo.jp/subway/stations/ushigome-yanagicho/e04.html,東京都新宿区原町2-32,35.699521,139.725025
E05,牛込神楽坂駅,http://www.kotsu.metro.tokyo.jp/subway/stations/ushigome-kagurazaka/e05.html,東京都新宿区箪笥町15,35.700852,139.735807
A16,浅草橋駅,http://www.kotsu.metro.tokyo.jp/subway/stations/asakusabashi/a16.html,東京都台東区浅草橋1-18-11,35.697552,139.785992
A17,蔵前駅,http://www.kotsu.metro.tokyo.jp/subway/stations/kuramae/a17.html,東京都台東区蔵前2-3-1,35.703237,139.790935
A18,浅草駅,http://www.kotsu.metro.tokyo.jp/subway/stations/asakusa/a18.html,東京都台東区駒形1-12-14,35.708941,139.796568
A12,宝町駅,http://www.kotsu.metro.tokyo.jp/subway/stations/takaracho/a12.html,東京都中央区京橋2-13-11,35.675463,139.771765
A02,馬込駅,http://www.kotsu.metro.tokyo.jp/subway/stations/magome/a02.html,東京都大田区北馬込2-31-9,35.596435,139.711772
A03,中延駅,http://www.kotsu.metro.tokyo.jp/subway/stations/nakanobu/a03.html,東京都品川区東中延2-9-12,35.605387,139.71362
A04,戸越駅,http://www.kotsu.metro.tokyo.jp/subway/stations/togoshi/a04.html,東京都品川区戸越3-4-17,35.614637,139.716496
A05,五反田駅,http://www.kotsu.metro.tokyo.jp/subway/stations/gotanda/a05.html,東京都品川区東五反田1-26-2,35.626446,139.723442
A06,高輪台駅,http://www.kotsu.metro.tokyo.jp/subway/stations/takanawadai/a06.html,東京都港区白金台2-26-7,35.631676,139.730304
A07,泉岳寺駅,http://www.kotsu.metro.tokyo.jp/subway/stations/sengakuji/a07.html,東京都港区高輪2-16-34,35.638696,139.740016
S18,一之江駅,http://www.kotsu.metro.tokyo.jp/subway/stations/ichinoe/s18.html,東京都江戸川区春江町4-2,35.686052,139.882929
